id,hour_of_day,level,mean_seconds
6kVHCR22SGLsK4YC0YeM,3,light,2285.7142857142858
6kVHCR22SGLsK4YC0YeM,3,rem,1210.625
6kVHCR22SGLsK4YC0YeM,3,wake,346.36363636363637
6kVHCR22SGLsK4YC0YeM,4,deep,1282.2857142857144
6kVHCR22SGLsK4YC0YeM,4,light,2142.3809523809523
6kVHCR22SGLsK4YC0YeM,4,rem,1176.8571428571429
6kVHCR22SGLsK4YC0YeM,4,wake,480.0
6kVHCR22SGLsK4YC0YeM,5,deep,704.39999999999986
6kVHCR22SGLsK4YC0YeM,5,light,2067.1428571428569
6kVHCR22SGLsK4YC0YeM,5,rem,1453.8000000000002
6kVHCR22SGLsK4YC0YeM,5,wake,482.30769230769226
6kVHCR22SGLsK4YC0YeM,6,deep,866.8421052631578
6kVHCR22SGLsK4YC0YeM,6,light,2031.2903225806458
6kVHCR22SGLsK4YC0YeM,6,rem,1422.4528301886794
6kVHCR22SGLsK4YC0YeM,6,wake,467.36842105263156
6kVHCR22SGLsK4YC0YeM,7,deep,384.0
6kVHCR22SGLsK4YC0YeM,7,light,1633.2
6kVHCR22SGLsK4YC0YeM,7,rem,1434.3396226415091
6kVHCR22SGLsK4YC0YeM,7,wake,681.290322580645
6kVHCR22SGLsK4YC0YeM,8,deep,360.0
6kVHCR22SGLsK4YC0YeM,8,light,712.94117647058829
6kVHCR22SGLsK4YC0YeM,8,rem,946.76470588235281
6kVHCR22SGLsK4YC0YeM,8,wake,716.84210526315792
6kVHCR22SGLsK4YC0YeM,9,rem,210.0
6kVHCR22SGLsK4YC0YeM,9,wake,1020.0
6kVHCR22SGLsK4YC0YeM,21,deep,1275.0
6kVHCR22SGLsK4YC0YeM,21,light,135.0
6kVHCR22SGLsK4YC0YeM,21,wake,320.0
6kVHCR22SGLsK4YC0YeM,22,deep,1366.5000000000002
6kVHCR22SGLsK4YC0YeM,22,light,478.5
6kVHCR22SGLsK4YC0YeM,22,wake,520.38461538461547
6kVHCR22SGLsK4YC0YeM,23,deep,1860.9677419354839
6kVHCR22SGLsK4YC0YeM,23,light,939.00000000000023
6kVHCR22SGLsK4YC0YeM,23,rem,750.0
6kVHCR22SGLsK4YC0YeM,23,wake,494.11764705882354
7z3ustz5EnF7LMolNFXD,0,deep,1184.9999999999998
7z3ustz5EnF7LMolNFXD,0,light,1846.8
7z3ustz5EnF7LMolNFXD,0,rem,552.63157894736833
7z3ustz5EnF7LMolNFXD,0,wake,442.17391304347831
7z3ustz5EnF7LMolNFXD,1,deep,1121.7073170731708
7z3ustz5EnF7LMolNFXD,1,light,1882.8000000000002
7z3ustz5EnF7LMolNFXD,1,rem,697.99999999999977
7z3ustz5EnF7LMolNFXD,1,wake,610.64516129032256
7z3ustz5EnF7LMolNFXD,2,deep,850.83333333333326
7z3ustz5EnF7LMolNFXD,2,light,2147.0588235294126
7z3ustz5EnF7LMolNFXD,2,rem,767.14285714285734
7z3ustz5EnF7LMolNFXD,2,wake,547.50000000000034
7z3ustz5EnF7LMolNFXD,3,deep,954.0
7z3ustz5EnF7LMolNFXD,3,light,2224.1176470588239
7z3ustz5EnF7LMolNFXD,3,rem,911.14285714285711
7z3ustz5EnF7LMolNFXD,3,wake,497.58620689655174
7z3ustz5EnF7LMolNFXD,4,deep,881.66666666666663
7z3ustz5EnF7LMolNFXD,4,light,2178.2352941176468
7z3ustz5EnF7LMolNFXD,4,rem,975.0
7z3ustz5EnF7LMolNFXD,4,wake,416.4
7z3ustz5EnF7LMolNFXD,5,deep,731.05263157894728
7z3ustz5EnF7LMolNFXD,5,light,1955.4
7z3ustz5EnF7LMolNFXD,5,rem,1146.0
7z3ustz5EnF7LMolNFXD,5,wake,585.6
7z3ustz5EnF7LMolNFXD,6,deep,892.5
7z3ustz5EnF7LMolNFXD,6,light,1596.4285714285716
7z3ustz5EnF7LMolNFXD,6,rem,1083.636363636364
7z3ustz5EnF7LMolNFXD,6,wake,697.49999999999989
7z3ustz5EnF7LMolNFXD,7,deep,714.0
7z3ustz5EnF7LMolNFXD,7,light,1240.909090909091
7z3ustz5EnF7LMolNFXD,7,rem,804.0
7z3ustz5EnF7LMolNFXD,7,wake,506.66666666666669
7z3ustz5EnF7LMolNFXD,8,deep,1260.0
7z3ustz5EnF7LMolNFXD,8,light,1060.0
7z3ustz5EnF7LMolNFXD,8,rem,1090.0
7z3ustz5EnF7LMolNFXD,8,wake,1350.0
7z3ustz5EnF7LMolNFXD,22,deep,960.0
7z3ustz5EnF7LMolNFXD,22,light,570.0
7z3ustz5EnF7LMolNFXD,22,wake,562.5
7z3ustz5EnF7LMolNFXD,23,deep,771.81818181818176
7z3ustz5EnF7LMolNFXD,23,light,1242.9729729729731
7z3ustz5EnF7LMolNFXD,23,rem,1050.0
7z3ustz5EnF7LMolNFXD,23,wake,594.5454545454545
Bn8ry07xklgiLaf91MqF,0,deep,1217.4999999999998
Bn8ry07xklgiLaf91MqF,0,light,1576.8292682926831
Bn8ry07xklgiLaf91MqF,0,rem,955.71428571428578
Bn8ry07xklgiLaf91MqF,0,wake,483.15789473684208
Bn8ry07xklgiLaf91MqF,1,deep,1360.2439024390244
Bn8ry07xklgiLaf91MqF,1,light,1730.204081632653
Bn8ry07xklgiLaf91MqF,1,rem,805.55555555555554
Bn8ry07xklgiLaf91MqF,1,wake,287.14285714285717
Bn8ry07xklgiLaf91MqF,2,deep,1026.8571428571429
Bn8ry07xklgiLaf91MqF,2,light,2068.9285714285711
Bn8ry07xklgiLaf91MqF,2,rem,828.57142857142867
Bn8ry07xklgiLaf91MqF,2,wake,543.52941176470586
Bn8ry07xklgiLaf91MqF,3,deep,792.58064516129036
Bn8ry07xklgiLaf91MqF,3,light,2093.0357142857142
Bn8ry07xklgiLaf91MqF,3,rem,1192.325581395349
Bn8ry07xklgiLaf91MqF,3,wake,504.00000000000006
Bn8ry07xklgiLaf91MqF,4,deep,829.5
Bn8ry07xklgiLaf91MqF,4,light,2094.2307692307691
Bn8ry07xklgiLaf91MqF,4,rem,1137.9069767441863
Bn8ry07xklgiLaf91MqF,4,wake,418.33333333333331
Bn8ry07xklgiLaf91MqF,5,deep,708.75
Bn8ry07xklgiLaf91MqF,5,light,1678.604651162791
Bn8ry07xklgiLaf91MqF,5,rem,1211.6129032258061
Bn8ry07xklgiLaf91MqF,5,wake,653.99999999999989
Bn8ry07xklgiLaf91MqF,6,deep,890.0
Bn8ry07xklgiLaf91MqF,6,light,1663.333333333333
Bn8ry07xklgiLaf91MqF,6,rem,1197.6923076923076
Bn8ry07xklgiLaf91MqF,6,wake,564.5454545454545
Bn8ry07xklgiLaf91MqF,7,deep,705.0
Bn8ry07xklgiLaf91MqF,7,light,912.85714285714289
Bn8ry07xklgiLaf91MqF,7,rem,920.0
Bn8ry07xklgiLaf91MqF,7,wake,540.0
Bn8ry07xklgiLaf91MqF,8,light,180.0
Bn8ry07xklgiLaf91MqF,8,wake,330.0
Bn8ry07xklgiLaf91MqF,21,deep,1050.0
Bn8ry07xklgiLaf91MqF,21,light,1080.0
Bn8ry07xklgiLaf91MqF,21,wake,600.0
Bn8ry07xklgiLaf91MqF,22,deep,585.0
Bn8ry07xklgiLaf91MqF,22,light,1044.0
Bn8ry07xklgiLaf91MqF,22,wake,791.25
Bn8ry07xklgiLaf91MqF,23,deep,1146.0
Bn8ry07xklgiLaf91MqF,23,light,1118.5714285714284
Bn8ry07xklgiLaf91MqF,23,rem,708.0
Bn8ry07xklgiLaf91MqF,23,wake,843.91304347826076
D7ztGzWsNcXCjkpkH9O7,0,deep,1372.8571428571429
D7ztGzWsNcXCjkpkH9O7,0,light,1226.25
D7ztGzWsNcXCjkpkH9O7,0,rem,867.27272727272725
D7ztGzWsNcXCjkpkH9O7,0,wake,621.17647058823525
D7ztGzWsNcXCjkpkH9O7,1,deep,1440.0
D7ztGzWsNcXCjkpkH9O7,1,light,1403.0769230769231
D7ztGzWsNcXCjkpkH9O7,1,rem,1101.1764705882354
D7ztGzWsNcXCjkpkH9O7,1,wake,749.99999999999989
D7ztGzWsNcXCjkpkH9O7,2,deep,1320.0
D7ztGzWsNcXCjkpkH9O7,2,light,1416.5853658536582
D7ztGzWsNcXCjkpkH9O7,2,rem,870.0
D7ztGzWsNcXCjkpkH9O7,2,wake,622.17391304347814
D7ztGzWsNcXCjkpkH9O7,3,deep,1382.6470588235295
D7ztGzWsNcXCjkpkH9O7,3,light,1625.3333333333335
D7ztGzWsNcXCjkpkH9O7,3,rem,896.66666666666663
D7ztGzWsNcXCjkpkH9O7,3,wake,487.05882352941177
D7ztGzWsNcXCjkpkH9O7,4,deep,1265.5555555555552
D7ztGzWsNcXCjkpkH9O7,4,light,1774.090909090909
D7ztGzWsNcXCjkpkH9O7,4,rem,992.90322580645159
D7ztGzWsNcXCjkpkH9O7,4,wake,632.60869565217388
D7ztGzWsNcXCjkpkH9O7,5,deep,1050.0
D7ztGzWsNcXCjkpkH9O7,5,light,2020.7142857142862
D7ztGzWsNcXCjkpkH9O7,5,rem,819.31034482758616
D7ztGzWsNcXCjkpkH9O7,5,wake,548.57142857142867
D7ztGzWsNcXCjkpkH9O7,6,deep,966.92307692307691
D7ztGzWsNcXCjkpkH9O7,6,light,1873.5714285714287
D7ztGzWsNcXCjkpkH9O7,6,rem,1162.5
D7ztGzWsNcXCjkpkH9O7,6,wake,649.5
D7ztGzWsNcXCjkpkH9O7,7,deep,873.75
D7ztGzWsNcXCjkpkH9O7,7,light,1896.0
D7ztGzWsNcXCjkpkH9O7,7,rem,1077.0967741935478
D7ztGzWsNcXCjkpkH9O7,7,wake,545.0
D7ztGzWsNcXCjkpkH9O7,8,deep,1234.2857142857142
D7ztGzWsNcXCjkpkH9O7,8,light,1670.625
D7ztGzWsNcXCjkpkH9O7,8,rem,1150.7142857142858
D7ztGzWsNcXCjkpkH9O7,8,wake,670.0
D7ztGzWsNcXCjkpkH9O7,9,deep,648.0
D7ztGzWsNcXCjkpkH9O7,9,light,1651.1538461538464
D7ztGzWsNcXCjkpkH9O7,9,rem,1187.1428571428571
D7ztGzWsNcXCjkpkH9O7,9,wake,553.12499999999989
D7ztGzWsNcXCjkpkH9O7,10,deep,1155.0
D7ztGzWsNcXCjkpkH9O7,10,light,1621.3636363636367
D7ztGzWsNcXCjkpkH9O7,10,rem,639.375
D7ztGzWsNcXCjkpkH9O7,10,wake,402.85714285714283
D7ztGzWsNcXCjkpkH9O7,11,deep,1320.0
D7ztGzWsNcXCjkpkH9O7,11,light,2022.0
D7ztGzWsNcXCjkpkH9O7,11,rem,678.75
D7ztGzWsNcXCjkpkH9O7,11,wake,435.0
D7ztGzWsNcXCjkpkH9O7,12,deep,1235.0
D7ztGzWsNcXCjkpkH9O7,12,light,1700.7692307692307
D7ztGzWsNcXCjkpkH9O7,12,rem,1194.0
D7ztGzWsNcXCjkpkH9O7,12,wake,852.85714285714289
D7ztGzWsNcXCjkpkH9O7,13,deep,1301.25
D7ztGzWsNcXCjkpkH9O7,13,light,1735.0
