id,hour_of_day,mean_hourly_steps
H7UADUwy3br6HvHTUti0,9,1118.06
H7UADUwy3br6HvHTUti0,10,488.35
H7UADUwy3br6HvHTUti0,11,164.28
H7UADUwy3br6HvHTUti0,12,347.43
H7UADUwy3br6HvHTUti0,13,368.14
H7UADUwy3br6HvHTUti0,14,305.02
H7UADUwy3br6HvHTUti0,15,314.38
H7UADUwy3br6HvHTUti0,16,506.89
H7UADUwy3br6HvHTUti0,17,1310.38
H7UADUwy3br6HvHTUti0,18,2647.92
H7UADUwy3br6HvHTUti0,19,2028.65
H7UADUwy3br6HvHTUti0,20,460.46
H7UADUwy3br6HvHTUti0,21,355.98
H7UADUwy3br6HvHTUti0,22,404.63
H7UADUwy3br6HvHTUti0,23,405.46
O7gJjdBvBXpMezaXUlbR,0,29.06
O7gJjdBvBXpMezaXUlbR,1,4.38
O7gJjdBvBXpMezaXUlbR,2,3.4
O7gJjdBvBXpMezaXUlbR,3,42.58
O7gJjdBvBXpMezaXUlbR,4,75.69
O7gJjdBvBXpMezaXUlbR,5,17.15
O7gJjdBvBXpMezaXUlbR,6,266.77
O7gJjdBvBXpMezaXUlbR,7,321.82
O7gJjdBvBXpMezaXUlbR,8,895.69
O7gJjdBvBXpMezaXUlbR,9,440.23
O7gJjdBvBXpMezaXUlbR,10,617.38
O7gJjdBvBXpMezaXUlbR,11,610.69
O7gJjdBvBXpMezaXUlbR,12,646.0
O7gJjdBvBXpMezaXUlbR,13,589.6
O7gJjdBvBXpMezaXUlbR,14,1084.63
O7gJjdBvBXpMezaXUlbR,15,612.12
O7gJjdBvBXpMezaXUlbR,16,593.95
O7gJjdBvBXpMezaXUlbR,17,518.49
O7gJjdBvBXpMezaXUlbR,18,467.34
O7gJjdBvBXpMezaXUlbR,19,427.48
O7gJjdBvBXpMezaXUlbR,20,487.03
O7gJjdBvBXpMezaXUlbR,21,515.62
O7gJjdBvBXpMezaXUlbR,22,323.29
O7gJjdBvBXpMezaXUlbR,23,152.11
Ohb0TKzIBmhz3jYZJ4Eq,0,75.11
Ohb0TKzIBmhz3jYZJ4Eq,1,29.46
Ohb0TKzIBmhz3jYZJ4Eq,2,4.68
